English,Marathi
we waited,आपण थांबलो
we waited,आम्ही वाट बघितली
we waited,आपण वाट बघितली
we are shy,आम्ही लाजाळू आहोत
we are shy,आपण लाजाळू आहोत
well done,शाब्बास
what is up,काय चाललंय
what is up,वर काय आहे
what is up,कसं काय
who is he,तो कोण आहे
who is he,ते कोण आहेत
who is it,कोण आहे
who knows,कोणास ठाऊक
who knows,कोणाला माहीत आहे
who will go,कोण जाईल
who is tom,टॉम कोण आहे
who is she,ती कोण आहे
who is she,त्या कोण आहेत
who is she,ती कोण
who is she,त्या कोण
you drive,तू चालव
you drive,तुम्ही चालवा
you idiot,मूर्खा
you tried,तू प्रयत्न केलास
you tried,तुम्ही प्रयत्न केलात
are you ok,ठीक आहेस का
are you ok,बरा आहेस का
are you ok,बरी आहेस का
ask anyone,कोणालाही विचार
be careful,सावध रहा
be on time,वेळेवर पोहोच
be on time,वेळेवर पोहोचा
birds sing,पक्षी गातात
bring wine,वाईन आण
bring wine,वाईन आणा
come again,पुन्हा या
come again,पुन्हा ये
come on in,आत ये
come quick,लवकर ये
come quick,लवकर या
definitely,नक्कीच
do men cry,माणसं रडतात का
do men cry,पुरुष रडतात का
do not look,बघू नकोस
do not look,बघू नका
do not move,हलू नकोस
do not move,हलू नका
do not talk,बोलू नकोस
do not talk,बोलू नका
do not talk,बोलू नका
do not talk,बोलू नकोस
fill it up,भरून टाक
fire burns,आग जळते
fire burns,आग जाळते
forget tom,टॉमला विसर
forget tom,टॉमला विसरा
forget tom,टॉमला विसरून जा
forget him,त्याला विसर
forget him,त्याला विसरून जा
forget him,त्यांना विसर
forget him,त्यांना विसरून जा
god exists,देव असतो
he is here,तो इथे आहे
he is here,इथे आहे
he is here,इथे आहे तो
he is late,त्याला उशीर झाला आहे
he is nice,तो चांगला आहे
he is nice,ते चांगले आहेत
he laughed,तो हसला
he laughed,ते हसले
he is swiss,तो स्विस आहे
he is smart,तो हुशार आहे
he is smart,ते हुशार आहेत
hold still,हलू नकोस
hold still,हलू नका
i am a man,मी माणुस आहे
i am a man,मी पुरुष आहे
i am ready,मी तयार आहे
i can read,मला वाचता येतं
i can read,मी वाचू शकतो
i can read,मी वाचू शकते
i can swim,मला पोहता येतं
i can swim,मी पोहू शकतो
i can swim,मी पोहू शकते
i can walk,मी चालू शकतो
i can walk,मी चालू शकते
i eat here,मी इथे खातो
i eat here,मी इथे जेवतो
i eat meat,मी मांस खातो
i eat meat,मी मांस खाते
i eat rice,मी भात खातो
i eat rice,मी भात खाते
i help tom,मी टॉमची मदत करतो
i help tom,मी टॉमची मदत करते
i just ate,माझं आत्ताच खाऊन झालं आहे
i like him,मला तो आवडतो
i like him,मला ते आवडतात
i like tea,मला चहा आवडतो
i like you,मला तू आवडतोस
i like you,मला तू आवडतेस
i like you,मला तुम्ही आवडता
i love you,माझं तुझ्यावर प्रेम आहे
i love you,माझं तुमच्यावर प्रेम आहे
i made tea,मी चहा बनवला
i miss you,मला तुझी आठवण येते
i miss you,मला तुमची आठवण येते
i ran away,मी पळून गेलो
i ran away,मी पळून गेले
i remember,मला आठवतं
i remember,मला आठवतो
i remember,मला आठवते
i screamed,मी किंचाळलो
i screamed,मी किंचाळले
i see that,ते मला दिसतंय
i see them,मला ते दिसतात
i see them,मला त्या दिसतात
i see them,मी त्यांना बघतो
i see them,मी त्यांना बघते
i see them,मी त्यांना पाहतो
i see them,मी त्यांना पाहते
i shot tom,मी टॉमला गोळी मारली
i want tom,मला टॉम हवाय
i want tom,मला टॉम हवे आहेत
i want you,मला तुम्ही हवे आहात
i want you,मला तू हवा आहेस
i want you,मला तू हवी आहेस
i was good,मी चांगला होतो
i was good,मी चांगली होते
i was late,मला उशीर झाला होता
i was sick,मी आजारी होतो
i was sick,मी आजारी होते
i work out,मी व्यायाम करतो
i work out,मी व्यायाम करते
i will leave,मी निघेन
i will start,मी सुरुवात करेन
i will start,मी सुरुवात करतो
i will start,मी सुरुवात करते
i am  now,मी आता  वर्षांचा आहे
i am  now,मी आता  वर्षांची आहे
i am a liar,मी खोटारडा आहे
i am a liar,मी खोटारडी आहे
i am a poet,मी कवी आहे
i am coming,मी येतोय
i am coming,मी येतेय
i am hungry,मला भूक लागली आहे
i am hungry,मला भूक लागली आहे
i am scared,मी घाबरलोय
i am scared,मी घाबरले आहे
i am sleepy,मला झोप आली आहे
i am so fat,मी किती जाडा आहे
i am so fat,मी किती जाडी आहे
i am trying,मी प्रयत्न करतोय
i am trying,मी प्रयत्न करतेय
is tom big,टॉम मोठा आहे का
is he tall,तो उंच आहे का
is he tall,ते उंच आहेत का
is it done,झालंय का
is it free,फुकटात आहे का
is it free,मुक्त आहे का
is it hard,कठीण आहे का
is it here,इथे आहे का
is it nice,चांगलं आहे का
is it time,वेळ झाला आहे का
is it true,खरं आहे का
is that so,असं का
is this it,हेच का
is this it,एवढच का
is this it,हेच आहे का
is this it,एवढच आहे का
it is alive,जिवंत आहे
it is my cd,माझी सीडी आहे
it is my cd,ती माझी सीडी आहे
it is night,रात्र आहे
it is ready,तयार आहे
it is white,सफेद आहे
it is white,पांढरं आहे
it is white,पांढरा आहे
it is white,पांढरी आहे
it is yours,तुझंय
it is yours,तुझं आहे
it is yours,तुमचं आहे
it is yours,आपलंच आहे
jesus wept,येशू रडला
keep quiet,शांत हो
keep quiet,शांत व्हा
keep quiet,शांत राहा
keep quiet,शांत हो
keep quiet,शांत व्हा
keep quiet,शांत राहा
let tom go,टॉमला सोड
let tom go,टॉमला सोडा
let tom go,टॉमला जाऊ दे
let tom go,टॉमला जाऊ द्या
let tom in,टॉमला आत येऊ दे
let tom in,टॉमला आत येऊ द्या
let him go,सोडा त्याला
let him go,सोडा त्यांना
let me see,मला बघू दे
let me see,मला बघू द्या
let us chat,गप्पा मारूया
let us kiss,किस करूया
let us talk,बोलूया
look again,परत बघ
look again,परत बघा
look ahead,पुढे बघ
look ahead,समोर बघ
look ahead,समोर बघा
look at me,माझ्याकडे बघ
look at me,माझ्याकडे बघा
look there,तिथे बघ
look there,तिथे बघा
love lasts,प्रेम टिकतं
never mind,सोडा
never mind,सोड
never mind,जाऊ दे
never mind,जाऊ द्या
no one ran,कोणीही धावलं नाही
quiet down,शांत हो
quiet down,शांत व्हा
shadow him,त्याचा पाठलाग करा
shadow him,त्याचा पाठलाग कर
shadow him,त्यांचा पाठलाग कर
shadow him,त्यांचा पाठलाग करा
she is old,ती म्हातारी आहे
she is old,ती वयस्कर आहे
smell this,याचा वास घे
smell this,याचा वास घ्या
stand back,पाठी हो
stand back,पाठी व्हा
start here,इथून सुरुवात कर
start here,इथून सुरू कर
start here,इथून सुरूवात करा
start here,इथून सुरू करा
start here,इथे सुरू कर
start here,इथे सुरू करा
stay alert,जागृत रहा
stay alert,जागृत रहावे
stay still,स्थिर रहा
step aside,बाजूला व्हा
step aside,बाजूला हो
study hard,मेहनतीने अभ्यास कर
study hard,मेहनतीने अभ्यास करा
take a bus,बस पकड
take a bus,बस पकडा
take a bus,एखादी बस पकड
take these,हे घे
take these,हे घ्या
take these,ह्या घे
take these,ह्या घ्या
talk to me,बोल माझ्याशी
talk to us,आमच्याबरोबर बोल
that a boy,शाब्बास
that is tom,तो टॉम आहे
that is tom,तो टॉम
that is wet,ते ओलं आहे
they stood,त्या उभ्या राहिल्या
they stood,ते उभे राहिले
they tried,त्यांनी प्रयत्न केला
this is me,हा मी
this is me,ही मी
time is up,वेळ समाप्त
time is up,वेळ संपली
tom bit me,टॉमने मला चावलं
tom burped,टॉमने ढेकर दिला
tom called,टॉमने फोन केला
tom called,टॉमने बोलवले
tom danced,टॉम नाचला
tom drinks,टॉम पितो
tom failed,टॉम अपयशी ठरला
tom failed,टॉम फेल झाला
tom forgot,टॉम विसरला
tom fought,टॉम लढला
tom helped,टॉमने मदत केली
tom is fat,टॉम जाडा आहे
tom is ill,टॉम आजारी आहे
tom is out,टॉम बाहेर आहे
tom is out,टॉम आउट झाला आहे
tom jumped,टॉमने उडी मारली
tom looked,टॉमने बघितलं
tom moaned,टॉम कण्हला
tom phoned,टॉमने फोन केला
tom saw me,टॉमने मला पाहिलं
tom saw me,टॉमने मला बघितलं
tom shaved,टॉमने दाढी केली
tom snores,टॉम घोरतो
tom talked,टॉम बोलला
tom waited,टॉम थांबला
tom waited,टॉमने वाट पाहिली
tom yawned,टॉमने आळस दिली
tom yelled,टॉम ओरडला
tomll die,टॉम मरेल
toms deaf,टॉम बहिरा आहे
toms sick,टॉम आजारी आहे
toms ugly,टॉम कुरूप आहे
turn right,उजवीकडे वळ
turn right,उजवीकडे वळा
watch this,हे बघ
watch this,हे बघा
we are men,आम्ही माणसं आहोत
we are men,आपण माणसं आहोत
we had fun,आम्ही मजा केली
we had fun,आपण मजा केली
we laughed,आम्ही हसलो
we laughed,आपण हसलो
we like it,आम्हाला आवडतं
we like it,आम्हाला आवडते
we like it,आम्हाला आवडतो
we like it,आपल्याला आवडतं
we like it,आपल्याला आवडतो
we like it,आपल्याला आवडती
we want it,आम्हाला ते हवं आहे
we want it,आम्हाला हवं आहे
we want it,आपल्याला ते हवं आहे
we will help,आम्ही मदत करू
we will help,आपण मदत करू
we will sing,आम्ही गाऊ
we will sing,आपण गाऊ
we will wait,आम्ही थांबू
we will wait,आपण थांबू
we will work,आम्ही काम करू
we are back,आम्ही परत आलो आहोत
we are back,आपण परत आलो आहोत
we are boys,आम्ही मुलं आहोत
we are boys,आपण मुलं आहोत
we are fine,आम्ही बरे आहोत
we are fine,आपण बरे आहोत
we are fine,आम्ही बर्‍या आहोत
we are fine,आपण बर्‍या आहोत
where am i,मी कुठे आहे
who are we,आपण कोण आहोत
who are we,आम्ही कोण आहोत
who did it,कोणी केलं
who has it,कोणाकडे आहे
who has it,ते कोणाकडे आहे
who is tom,टॉम कोण आहे
who is she,ती कोण आहे
who is she,त्या कोण आहेत
who phoned,कोणी फोन केला
who talked,कोण बोललं
who was it,कोण होतं
who yelled,कोण ओरडलं
who is here,कोण आहे इथे
who is that,ती कोण आहे
who is that,तो कोण
who is that,ते कोण
who is that,ती कोण
who is that,तो कोण आहे
who is that,ते कोण आहेत
wood burns,लाकुड जळतं
you decide,तुम्हीच ठरवा
you decide,तूच ठरव
you decide,तुम्ही ठरवा
you decide,तू ठरव
you may go,तुम्ही जाऊ शकता
you may go,तू जाऊ शकतोस
you may go,तुम्ही निघू शकता
you may go,तू जाऊ शकतेस
you have won,तू जिंकला आहेस
you have won,तू जिंकली आहेस
you have won,तुम्ही जिंकला आहात
anyone home,घरी कोणी आहे का
anyone hurt,कोणाला लागलं का
are we done,झालंय का
are you tom,तू टॉम आहेस का
are you tom,तुम्ही टॉम आहात का
are you tom,तू टॉम का
are you tom,तुम्ही टॉम का
are you new,नवीन आहेस का
are you new,तू नवीन आहेस का
are you new,तुम्ही नवीन आहात का
be prepared,तयार राहा
breathe out,श्वास सोड
breathe out,श्वास सोडा
come inside,आत ये
come inside,आत या
did tom die,टॉम मेला का
did tom die,टॉम वारला का
did tom eat,टॉमने खाल्लं का
did tom win,टॉम जिंकला का
do not argue,भांडू नकोस
do not argue,भांडू नका
do not argue,भांडू नये
do not argue,भांडण करू नका
do not argue,भांडण करू नकोस
do not fight,लढू नका
do not fight,लढू नकोस
do not fight,मारामारी करू नका
do not leave,सोडू नकोस
do not leave,सोडून जाऊ नकोस
do not leave,सोडू नका
do not leave,सोडून नका जाऊ
do not shout,ओरडू नकोस
do not shout,ओरडू नका
eat with us,आमच्याबरोबर खा
forgive tom,टॉमला माफ कर
forgive tom,टॉमला माफ करा
get changed,कपडे बदल
get changed,कपडे बदला
get started,सुरू करा
get started,सुरू कर
get started,सुरुवात करा
get started,सुरुवात कर
go have fun,जा मजा कर
go have fun,जाऊन मजा कर
go help tom,जाऊन टॉमची मदत कर
have a seat,बस
have a seat,बसा
he can come,तो येऊ शकतो
he can come,ते येऊ शकतात
he can read,त्याला वाचता येतं
he can read,तो वाचू शकतो
he found it,त्याला सापडलं
he found it,त्यांना सापडलं
he has wine,त्याच्याकडे वाईन आहे
he is happy,तो खूश आहे
he is happy,ते खूश आहेत
he is lying,तो खोटं बोलतोय
he is lying,ते खोटं बोलताहेत
he is young,तो तरुण आहे
he resigned,त्याने राजीनामा दिला
he resigned,त्यांनी राजीनामा दिला
he stood up,तो उभा झाला
he stood up,तो उभा राहिला
he stood up,ते उभे झाले
he stood up,ते उभे राहिले
how are you,कसा आहेस
how are you,कशी आहेस
how are you,तुम्ही कसे आहात
how are you,तुम्ही कश्या आहात
how are you,तू कसा आहेस
how are you,तू कशी आहेस
how strange,किती विचित्र
i am taller,मी जास्त उंच आहे
i came back,मी परत आलो
i came back,मी परत आले
i can dance,मी नाचू शकतो
i can dance,मी नाचू शकते
i can dance,मला नाचता येतं
i can do it,मी करू शकतो
i can do it,मी करू शकते
i cannot fly,मला उडता येत नाही
i cannot say,सांगता येत नाही
i cannot say,मला सांगता येत नाही
i cannot say,मी सांगू शकत नाही
i do not cry,मी रडत नाही
i do not eat,मी खात नाही
i drank tea,मी चहा प्यायलो
i drank tea,मी चहा प्यायले
i eat bread,मी ब्रेड खातो
i eat bread,मी पाव खाते
i eat bread,मी ब्रेड खाते
i eat bread,मी पाव खातो
i eat fruit,मी फळं खातो
i eat fruit,मी फळं खाते
i exercised,मी व्यायाम केला
i feel fine,मला बरं वाटतंय
i felt that,मला जाणवलं ते
i forgot it,मी ते विसरलो
i forgot it,मी ते विसरले
i had a cat,माझ्याकडे एक मांजर होती
i have time,माझ्याकडे वेळ आहे
i have wine,माझ्याकडे वाईन आहे
i knew that,ते मला माहीत होतं
i know this,मला हे माहीत आहे
i left home,मी घर सोडून गेलो
i left home,मी घर सोडून गेले
i left home,मी घरातून निघालो
i left home,मी घरातून निघाले
i like beer,मला बीअर आवडते
i like both,मला दोन्ही आवडतात
i like cake,मला केक आवडतो
i like cats,मला मांजरी आवडतात
i like fish,मला मासे आवडतात
i like math,मला गणित आवडतं
i like rice,मला भात आवडतो
i like snow,मला बर्फ आवडतो
i like that,मला तो आवडतो
i like that,मला ते आवडतं
i like that,मला ती आवडते
i made that,ते मी बनवलं
i made that,मी बनवलं ते
i need time,मला वेळेची गरज आहे
i never cry,मी कधीच रडत नाही
i saved you,मी तुला वाचवलं
i saved you,मी तुम्हाला वाचवलं
i smell gas,मला गॅसचा वास येतोय
i trust tom,माझा टॉमवर विश्वास आहे
i want more,मला अजून हवंय
i want more,मला अजून हवं आहे
i want them,मला ते हवे आहेत
i want them,मला त्या हव्या आहेत
i want them,मला ती हवी आहेत
i want this,मला हे हवं आहे
i want this,मला हे पाहिजे
i want time,मला वेळ हवाय
i was alone,मी एकटा होतो
i was alone,मी एकटी होते
i was naked,मी नग्न होतो
i was naked,मी नग्न होते
i was naked,मी नागडा होतो
i was naked,मी नागडी होते
i was stuck,मी अडकलेलो
i was stuck,मी अडकलेले
i was tired,मी थकलेलो
i was tired,मी थकलेले
i went too,मी पण गेलो
i went too,मी पण गेले
i would not lie,मी खोटं बोलणार नाही
i will buy it,मी विकत घेईन
i will decide,मी ठरवेन
i will decide,मी निर्णय घेईन
i will eat it,मी खाईन
i will get by,चालवून घेईन
i will get it,मी आणतो
i will get it,मी आणते
i will get it,मी घेते
i will get it,मी घेतो
i will get it,मला मिळेल ते
i will get it,मी उघडतो
i will get it,मी उघडते
i will scream,मी किंचाळेन
i am dancing,मी नाचतोय
i am dancing,मी नोचतेय
i am dieting,मी डायट करतोय
i am dieting,मी डायट करतेय
i am falling,मी पडतोय
i am falling,मी पडतेय
i am healthy,मी टणटणीत आहे
i am healthy,मी निरोगी आहे
i am in jail,मी तुरुंगात आहे
i am in jail,मी जेलमध्ये आहे
i am not tom,मी टॉम नाहीये
i am popular,मी लोकप्रिय आहे
i am reading,मी वाचतोय
i am reading,मी वाचतेय
i am resting,मी आराम करतोय
i am resting,मी आराम करतेय
i am so full,माझं पोट अगदी भरून गेलं आहे
i am stuffed,माझं पोट भरलं आहे
i am talking,मी बोलतोय
i am talking,मी बोलतेय
i am the ceo,मी सीईओ आहे
i am thirsty,मला तहान लागली आहे
i am thirsty,मी तहोनलेलो आहे
i am thirsty,मी तहोनलेली आहे
i am too fat,मी खूपच जाडा आहे
i am too fat,मी खूपच जाडी आहे
i am trapped,मी फसलोय
i am trapped,मी फसलेय
i am unarmed,मी निःशस्त्र आहे
